molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL410897,Nc1ccc(C(=O)Nc2ccc(CCN3CCc4ccccc4C3)cc2)cc1,inactive,371.48400000000004,4.121900000000004,2.0,3.0,4.110000009303415
CHEMBL261632,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(N)cc3)cc1)CC2,inactive,431.5360000000002,4.139100000000003,2.0,5.0,3.5799999986618127
CHEMBL261618,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1ccc([N+](=O)[O-])cc1,intermediate,401.46600000000007,4.447900000000004,1.0,4.0,5.180000294489514
CHEMBL555611,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc([N+](=O)[O-])cc3)cc1)CC2,intermediate,461.5180000000002,4.465100000000003,1.0,6.0,5.119999756699334
CHEMBL259077,Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1,inactive,371.48400000000004,4.121900000000004,2.0,3.0,4.130000024196025
CHEMBL429515,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3N)cc1)CC2,inactive,431.5360000000002,4.139100000000003,2.0,5.0,4.070000019492821
CHEMBL258456,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1ccccc1[N+](=O)[O-],inactive,401.46600000000007,4.447900000000004,1.0,4.0,4.100000018985305
CHEMBL247473,COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC,intermediate,595.6960000000004,5.826400000000006,2.0,7.0,5.679999195735272
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,intermediate,646.7440000000001,6.374600000000006,2.0,8.0,5.8399999311187
CHEMBL258896,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)c3ccc(C)cc3)cc1)CC2,intermediate,549.671,6.117620000000006,2.0,5.0,5.410000161858408
CHEMBL428402,O=C(Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1cnc2ccccc2c1,active,526.6400000000002,6.340200000000006,2.0,4.0,6.0
CHEMBL444075,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,intermediate,586.692,6.357400000000006,2.0,6.0,5.300000202445418
CHEMBL160,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)CC(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C,inactive,1202.634999999999,3.2690000000000046,5.0,12.0,4.200000030616179
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,active,469.58200000000033,3.6373000000000024,2.0,5.0,6.509999358109048
CHEMBL6966,COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,inactive,454.6110000000002,5.093080000000005,0.0,6.0,3.2800000002066945
CHEMBL772,COC(=O)[C@H]1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,inactive,608.6880000000004,4.171100000000004,1.0,10.0,4.579999998661813
CHEMBL103,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,inactive,314.46900000000005,4.723500000000005,0.0,2.0,3.9000000040686618
CHEMBL36506,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,inactive,612.6320000000002,3.6271200000000023,5.0,11.0,4.180000031556896
CHEMBL1484,COC(=O)C1=C(C)NC(C)=C(C(=O)OCCN(C)Cc2ccccc2)C1c1cccc([N+](=O)[O-])c1,inactive,479.5330000000002,3.677800000000002,1.0,8.0,4.779999975777493
CHEMBL941,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,intermediate,493.6150000000002,4.590320000000004,2.0,7.0,5.309999839831227
CHEMBL23,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,inactive,414.52700000000016,3.368500000000002,0.0,6.0,3.06999999908276
CHEMBL428402,O=C(Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1cnc2ccccc2c1,active,526.6400000000002,6.340200000000006,2.0,4.0,6.0800019690359814
CHEMBL428402,O=C(Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1cnc2ccccc2c1,active,526.6400000000002,6.340200000000006,2.0,4.0,6.170001911302621
CHEMBL258610,COc1cccc(CCc2ccccc2OCc2cccc(OC)c2OC)c1,inactive,378.46800000000013,5.076600000000004,0.0,4.0,3.9208187539523753
CHEMBL272836,COc1cccc(CCc2ccccc2OCc2ccc(OC)c(OC)c2)c1,inactive,378.46800000000013,5.076600000000004,0.0,4.0,3.8239087409443187
CHEMBL272423,COc1cccc(CCc2ccccc2NCc2cccc(OC)c2OC)c1,intermediate,377.48400000000015,5.109700000000005,1.0,4.0,5.823908740944319
CHEMBL272036,COc1cccc(CCc2ccccc2NCc2ccc(OC)c(OC)c2)c1,active,377.48400000000015,5.109700000000005,1.0,4.0,6.301029995663981
CHEMBL410316,COc1ccc2c3c([nH]c2c1)[C@H](C=C(C)C)N1C(=O)[C@@H]2CCCN2C(=O)[C@@H]1C3,inactive,379.4600000000002,2.9417000000000018,1.0,3.0,4.958607314841775
CHEMBL500094,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(C)c(NC(=O)c4cnc5ccccc5c4)c3)cc1)CC2,intermediate,600.719,6.665820000000007,2.0,6.0,5.701146923590294
CHEMBL453516,COc1cc(NC(=O)c2cnc3ccccc3c2)cc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)c1,active,616.7180000000003,6.366000000000006,2.0,7.0,6.0101054362812265
CHEMBL506742,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(NC(=O)c4cnc5ccccc5c4)c(OC)c(OC)c3)cc1)CC2,active,646.744,6.374600000000006,2.0,8.0,6.066512712151295
CHEMBL446339,COc1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2c1,active,616.7180000000002,6.366000000000007,2.0,7.0,6.498940737782249
CHEMBL456361,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cccnc1,intermediate,594.6680000000002,4.990800000000005,2.0,8.0,5.993533957750769
CHEMBL501349,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnccn1,active,595.6560000000002,4.385800000000003,2.0,9.0,6.199282921717615
CHEMBL457439,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc(C)cn1,active,609.6830000000001,4.694220000000004,2.0,9.0,6.2580609222708015
CHEMBL455275,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ncccc2c1,active,644.7280000000002,6.144000000000006,2.0,8.0,6.747146969020107
CHEMBL506278,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2n1,active,645.7160000000001,5.539000000000005,2.0,9.0,6.73754891026957
CHEMBL502503,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1ccc2ccccc2n1,active,644.7280000000002,6.1440000000000055,2.0,8.0,7.221848749616356
CHEMBL453536,COC(=O)c1ccc(C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1NC(=O)c1cnc2ccccc2c1,active,644.7280000000002,6.144000000000006,2.0,8.0,6.924453038607469
CHEMBL348475,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cc(OC)c(OC)cc3NC(=O)c3cnc4ccccc4c3)cc1)CC2,active,646.7440000000001,6.374600000000006,2.0,8.0,6.03810452633215
CHEMBL396298,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3cccc4c(=O)c5cccc(OC)c5[nH]c34)cc1)CC2,active,563.6540000000001,5.5602000000000045,2.0,6.0,6.6020599913279625
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,active,469.58200000000033,3.6373000000000024,2.0,5.0,6.647817481888637
CHEMBL554602,CN(C(=S)Nc1sccc1C(=O)O)C1CCCCC1,inactive,298.4330000000001,3.407600000000002,2.0,3.0,4.991399828238082
CHEMBL551696,CCN(CC)C(=S)Nc1sc2c(c1C(=O)O)C(C)CCC2,intermediate,326.48700000000014,3.9247000000000023,2.0,3.0,5.040958607678906
CHEMBL562021,CCN(CC)C(=S)Nc1sc2ccccc2c1C(=O)O,intermediate,308.4280000000001,3.6381000000000023,2.0,3.0,5.210419287835575
CHEMBL475554,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)Nc1ccccc1[N+](=O)[O-],intermediate,416.48100000000005,4.839600000000004,2.0,4.0,5.170053304058364
CHEMBL475362,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccccc3[N+](=O)[O-])cc1)CC2,inactive,476.5330000000002,4.856800000000004,2.0,6.0,4.991399828238082
CHEMBL474972,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc1)CC2,intermediate,476.5330000000002,4.856800000000003,2.0,6.0,5.410050398674292
CHEMBL472819,Nc1ccccc1NC(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1,inactive,386.49900000000014,4.513600000000004,3.0,3.0,3.9913998282380825
CHEMBL472818,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccccc3N)cc1)CC2,inactive,446.55100000000016,4.530800000000003,3.0,5.0,4.179798540514359
CHEMBL474757,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)Nc3ccc(N)cc3)cc1)CC2,inactive,446.55100000000016,4.530800000000002,3.0,5.0,4.130181792020672
CHEMBL258456,O=C(Nc1ccc(CCN2CCc3ccccc3C2)cc1)c1ccccc1[N+](=O)[O-],inactive,401.46600000000007,4.447900000000004,1.0,4.0,4.289882634888183
CHEMBL442464,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3[N+](=O)[O-])cc1)CC2,inactive,461.5180000000002,4.465100000000003,1.0,6.0,4.110138278741812
CHEMBL555611,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc([N+](=O)[O-])cc3)cc1)CC2,intermediate,461.5180000000002,4.465100000000003,1.0,6.0,5.1598939055432425
CHEMBL259077,Nc1ccccc1C(=O)Nc1ccc(CCN2CCc3ccccc3C2)cc1,inactive,371.48400000000004,4.121900000000004,2.0,3.0,4.749579997691106
CHEMBL429515,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3N)cc1)CC2,inactive,431.5360000000002,4.139100000000003,2.0,5.0,4.489454989793388
CHEMBL261632,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccc(N)cc3)cc1)CC2,inactive,431.5360000000002,4.139100000000003,2.0,5.0,3.6595558851598815
CHEMBL595550,COc1ccc(C(=O)Nc2ccccc2NC(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC,inactive,610.7110000000004,6.218100000000005,3.0,7.0,4.991399828238082
CHEMBL247473,COc1ccc(C(=O)Nc2ccccc2C(=O)Nc2ccc(CCN3CCc4cc(OC)c(OC)cc4C3)cc2)cc1OC,active,595.6960000000004,5.826400000000006,2.0,7.0,6.031517051446065
CHEMBL595493,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)c3ccc([N+](=O)[O-])cc3)cc1)CC2,active,580.6410000000001,5.717400000000005,2.0,7.0,6.161150909262744
CHEMBL594336,COc1cc2c(cc1OC)CN(CCc1ccc(NC(=O)c3ccccc3NC(=O)Nc3ccc([N+](=O)[O-])cc3)cc1)CC2,active,595.6560000000001,6.109100000000005,3.0,7.0,6.267606240177032
CHEMBL488910,COc1ccc2c3c([nH]c2c1)[C@H](CC(C)C)N1C(=O)[C@H](CCC(=O)OC(C)(C)C)NC(=O)[C@@H]1C3,active,469.58200000000033,3.6373000000000024,2.0,5.0,6.638272163982407
